POS,Runs,Avg,SR,Price,Earning per season,Score
1,5412,37.84,131.61,1432000000,110153846,4980.1224
2,5368,33.34,137.14,1107400000,85184615,4572.2476
3,4898,31.6,130.82,1466000000,112769230,4133.912
4,4706,43.17,142.39,753000000,57923076,6146.9763
5,4579,33.42,124.8,585657000,45050538,4170.816
6,4484,41.13,151.02,585657000,45050538,6211.4526
7,4432,42.2,137.85,1528400000,117569230,5817.27
8,4411,28.83,130.5,782767000,60212846,3762.315
9,4395,39.95,151.23,1025165000,78858846,6041.6385
10,4217,31.23,123.88,946200000,72784615,3868.7724
11,3820,32.93,121.92,518400000,39876923,4014.8256
12,3654,27.06,129.8,759200000,58400000,3512.388
13,3575,31.08,139.53,771348250,59334480,4336.5924
14,3300,28.69,125.95,258200000,19861538,3613.5055
15,3204,29.12,142.97,514800000,39600000,4163.2864
16,2880,27.69,131.74,398435000,30648846,3647.8806
17,2848,22.6,120.78,219140000,16856923,2729.628
18,2843,29.3,120.82,517000000,39769230,3540.026
19,2755,28.69,146.77,745303500,57331038,4210.8313
20,2750,24.77,129.71,846050000,65080769,3212.9167
21,2728,27.55,155.44,412450000,31726923,4282.372
22,2587,26.39,122.83,326600000,25123076,3241.4837
23,2477,39.95,132.74,151883100,11683315,5302.963
24,2427,28.55,109.22,341507000,26269769,3118.231
25,2385,28.39,135.2,157903000,12146384,3838.328
26,2334,34.83,119.81,382950000,29457692,4172.9823
27,2209,27.61,130.24,485800000,37369230,3595.9264
28,2174,28.23,115.51,193200000,14861538,3260.8473
29,2069,27.22,138.39,229485000,17652692,3766.9758
30,2029,39.78,124.02,233723722,17978747,4933.5156
31,2022,37.44,128.95,478296700,36792053,4827.888
32,1977,42.06,138.15,481000000,37000000,5810.589
33,1977,38.76,122.64,299087250,23006711,4753.5264
34,1927,24.08,122.58,770100000,59238461,2951.7264
35,1853,31.4,126.74,264444800,20341907,3979.636
36,1850,34.25,138.78,589954000,45381076,4753.215
37,1802,28.6,123.25,254800000,19600000,3524.95
38,1765,23.85,131.12,191400000,14723076,3127.212
39,1737,26.31,130.69,230933200,17764092,3438.4539
40,1736,36.16,162.69,428000000,32923076,5882.8704
41,1695,28.72,116.97,217550000,16734615,3359.3784
42,1687,25.95,121.19,199577000,15352076,3144.8805
43,1681,30.56,126.96,358000000,27538461,3879.8976
44,1554,20.72,118.35,110100000,8469230,2452.212
45,1548,28.14,131.96,159000000,12230769,3713.3544
46,1529,22.15,124.71,91000000,7000000,2762.3265
47,1483,23.17,128.28,466243500,35864884,2972.2476
48,1464,24.81,128.53,269600000,20738461,3188.8293
49,1456,30.33,131.28,253065400,19466569,3981.7224
50,1441,30.65,118.89,114000000,8769230,3643.9785
51,1400,33.33,125.22,28637200,2202861,4173.5826
52,1400,33.33,186.41,410593000,31584076,6213.0453
53,1397,22.9,161.13,634275400,48790415,3689.877
54,1386,35.53,150.81,252000000,19384615,5358.2793
55,1349,25.45,106.8,167900000,12915384,2718.06
56,1322,26.97,122.97,299087250,23006711,3316.5009
57,1302,38.29,135.06,138000000,10615384,5171.4474
58,1280,33.68,140.65,286990800,22076215,4737.092
59,1276,28.35,119.58,266400000,20492307,3390.093
60,1266,18.34,128.13,107000000,8230769,2349.9042
61,1153,26.81,114.49,131093500,10084115,3069.4769
64,1085,29.32,134.61,139000000,10692307,3946.7652
65,1079,22.95,126.49,342900000,26376923,2902.9455
67,1068,28.86,154.78,443000000,34076923,4466.9508
68,1017,25.42,123.72,183097000,14084384,3144.9624
69,1012,23.53,131.77,200000000,15384615,3100.5481
70,1001,37.07,134.72,355461000,27343153,4994.0704
71,985,22.38,117.82,105700000,8130769,2636.8116
72,974,24.35,141.98,163165700,12551207,3457.213
73,974,36.07,129.86,222119500,17086115,4684.0502
74,969,28.5,128.17,153215500,11785807,3652.845
75,954,26.5,126.35,232279000,17867615,3348.275
76,891,26.2,146.06,392000000,30153846,3826.772
78,880,19.55,128.84,169000000,13000000,2518.822
79,854,21.35,121.13,217522800,16732523,2586.1255
85,758,26.13,137.31,81000000,6230769,3587.9103
89,695,21.06,130.88,255000000,19615384,2756.3328
91,672,17.68,116.46,128250000,9865384,2059.0128
95,598,23.92,141.03,48000000,3692307,3373.4376
97,577,44.38,141.76,20000000,1538461,6291.3088
98,557,30.94,133.89,137000000,10538461,4142.5566
100,531,29.5,117.21,52934500,4071884,3457.695
